tconst	averageRating	numVotes
tt0000001	5.6	1660
tt0000002	6.1	203
tt0000003	6.5	1373
tt0000004	6.2	123
tt0000005	6.2	2161
tt0000006	5.3	116
tt0000007	5.4	663
tt0000008	5.4	1829
tt0000009	5.9	155
tt0000010	6.9	6087
tt0000011	5.2	267
tt0000012	7.4	10449
tt0000013	5.7	1586
tt0000014	7.1	4662
tt0000015	6.1	830
tt0000016	5.9	1210
tt0000017	4.6	243
tt0000018	5.3	480
tt0000019	5.3	20
tt0000020	5.0	270
tt0000022	5.1	897
tt0000023	5.7	1152
tt0000024	4.5	54
tt0000025	4.2	29
tt0000026	5.7	1319
tt0000027	5.6	935
tt0000028	5.1	862
tt0000029	6.0	2886
tt0000030	5.2	691
tt0000031	5.5	843
tt0000032	5.1	341
tt0000033	5.6	862
tt0000034	5.3	134
tt0000035	5.6	58
tt0000036	4.4	496
tt0000037	4.7	43
tt0000038	4.1	151
tt0000039	3.7	15
tt0000040	4.3	39
tt0000041	6.7	1474
tt0000042	4.7	23
tt0000043	3.9	14
tt0000044	4.8	29
tt0000045	4.8	18
tt0000046	4.5	18
tt0000047	3.8	17
tt0000048	4.8	129
tt0000049	5.4	25
tt0000050	4.4	15
tt0000051	4.1	16
tt0000052	4.6	63
tt0000053	2.8	9
tt0000054	5.4	20
tt0000055	3.9	17
tt0000056	3.5	12
tt0000057	4.6	16
tt0000058	4.5	15
tt0000059	3.9	15
tt0000060	7.6	62
tt0000061	4.1	14
tt0000062	6.5	159
tt0000063	3.9	14
tt0000064	3.6	14
tt0000065	3.7	14
tt0000066	3.6	14
tt0000067	5.9	42
tt0000068	4.0	13
tt0000069	4.8	352
tt0000070	6.4	2291
tt0000071	3.9	16
tt0000072	4.5	15
tt0000073	3.9	13
tt0000074	4.7	17
tt0000075	6.3	1584
tt0000076	4.5	437
tt0000077	5.1	19
tt0000078	4.2	49
tt0000079	4.6	18
tt0000080	4.3	14
tt0000081	4.4	15
tt0000082	4.8	25
tt0000083	4.9	19
tt0000084	4.7	16
tt0000085	5.0	17
tt0000086	4.4	15
tt0000087	4.9	19
tt0000088	4.9	16
tt0000089	6.2	838
tt0000090	4.3	15
tt0000091	6.7	2857
tt0000092	4.9	13
tt0000093	4.9	66
tt0000094	4.5	15
tt0000095	5.0	21
tt0000096	4.8	12
tt0000097	5.2	18
tt0000098	5.7	20
tt0000099	4.9	15
tt0000100	5.1	33
tt0000101	5.0	13
tt0000102	5.0	14
tt0000103	6.0	16
tt0000104	5.5	389
tt0000105	5.7	14
tt0000106	5.0	12
tt0000107	5.8	14
tt0000108	4.4	448
tt0000109	4.5	440
tt0000110	4.4	443
tt0000111	4.5	452
tt0000112	4.5	441
tt0000113	4.4	455
tt0000114	5.7	15
tt0000115	5.4	17
tt0000116	5.8	15
tt0000117	5.1	125
tt0000118	5.8	16
tt0000119	5.8	29
tt0000120	5.6	30
tt0000121	4.5	50
tt0000122	5.7	15
tt0000123	5.8	76
tt0000124	5.9	16
tt0000125	5.0	8
tt0000126	6.0	17
tt0000127	4.9	15
tt0000128	6.0	25
tt0000129	6.8	36
tt0000130	5.8	16
tt0000131	5.8	1102
tt0000132	5.1	878
tt0000133	6.6	23
tt0000134	4.6	8
tt0000135	6.7	52
tt0000137	4.8	13
tt0000138	6.5	878
tt0000139	5.4	16
tt0000140	5.0	226
tt0000141	5.3	63
tt0000142	5.0	11
tt0000143	4.9	199
tt0000144	5.1	230
tt0000145	3.9	7
tt0000146	5.1	14
tt0000147	5.2	359
tt0000148	3.6	7
